en_name,img_link,category_name,company,effective_material,price,usage,ar_name
Mineravit 20 soft gelatin caps.,https://dwaprices.com/upload/1674905860.jpg,فيتامينات,Eipico,"minerals,vitamins",4.95,"
فيتامينات متعددة , مقوي للمناعة , مقوي للاعصاب",2مينرافيت 20 كبسولة 20   
Vitayami 30 f.c. tabs,https://dwaprices.com/upload/1633861680.jpg,فيتامينات,Multi-apex,"multivitamins,minerals",67.5,"
مقوي عام, علاج الأنيميا , نقص الحديد , فيتامينات 
و معادن",1فيتايامي 30 كبسولة مقوي عام فيتامينات ومعادن 30  
Diviton-d forte 10.000 i.u./ml oral drops 20 ml,https://dwaprices.com/upload/1674892046.jpg,فيتامينات,Al esraa pharmaceutical optima,cholecalciferol(vitamin d3),73,"
فيتامين دال",2ديفيتون-دي فورت 10000 وحدة دولية/مل نقط بالفم 20 مل-  10000 /   20 
Selex 15 sachets,https://dwaprices.com/upload/1777323223.jpg,فيتامينات,Merva pharma,"zinc,selenium,vitamin C,vitamin E,lactoferrin",65,"
, مضاد للأكسدة
,فيتامينات ومعادن للوقاية من الأمراض
, لزيادة كفاءة المناعة",1سيليكس 15 كيس 15 
Milga 40 tablets,https://dwaprices.com/upload/1044038082.png,فيتامينات,Eva pharma,"benfotiamine,cyanocobalamine,pyridoxine",56,"
منشط عام للجسم خاصة الذاكرة والتركيز., حالات الإرهاق العصبي المزمن., مسكن لآلام الأعصاب ومقوي للجهاز العصبي., بديل لحقن الأعصاب بنفس الفعالية., تكوين وتقوية كرات الدم الحمراء., حالات الأنيميا و الضعف العام وفقدان الطاقة., علاج التهاب الأعصاب خصوصا لمرضى السكر., دعم كفاءة وظائف الأعصاب., تعويض نقص فيتامين ب., حالات رعشة واهتزاز اليدين  ورفة العين.فيتامين ب مركب - مقوي للأعصاب, أهمية فيتامين ب المركب للجسم, بنفوتيامينهو أحد مشتقات الثيامين “فيتامين ب1” – “Thiamine” والذي يتميز بسرعة امتصاصه، وقدرته على تخفيف آلام الأعصاب الطرفية وتقويتها خاصة في مرضى السكري. كما أنه يلعب دوراً هاماً في تنظيم عمليات التمثيل الغذائي في الجسم., فيتامين ب6 “بيريدوكسين”, ينشط تكوين كريات الدم الحمراء. , يساعد في تمثيل المواد الغذائية المختلفة مثل الأحماض الأمينية والكربوهيدرات والدهون. , يساعد المخ والجهاز العصبي على القيام بوظيفتهما الطبيعية., يدخل في العديد من الوظائف الحيوية بالجسم. , فيتامين ب12 “سيانوكوبالامين”,فيتامين ب 12 من أهم الفيتامينات التي يحتاجها الجسم، وعندما يقل تركيزه في الدم يسبب حالة مرضية تسمى “الأنيميا الخبيثة”. ويتواجد فيتامين ب12 في الصيدلية كمادة مستقلة على هيئة حقن ممتدة المفعول مثل ديبوفيت وبيوفيت، وأقراص تحت اللسان مثل دلتافيت أقراص، وكبسولات مثل أورافيت كبسول، وحديثا تم إنتاجه على هيئة فيلم يوضع على اللسان وهو “ميثايلتكنو“., كما يتواجد فيتامين ب 12 في الكثير من المكملات وتركيبات الفيتامينات الخاصة بالأعصاب والمقوية بوجه عام وذلك لما له من فوائد هامة جداً للجسم حيث أنه:, يساعد في تجديد خلايا الدم الحمراء.,عامل أساسي لسلامة الجهاز العصبي.,يساعد في عمليات التمثيل الغذائي.,يساعد على تقوية جهاز المناعة.,يزيد من قدرة الجسم على القيام بوظائفه عن طريق زيادة طاقته.,دواعي استخدام ميلجا أدفانس,يدعم وظيفة الجهاز العصبي,يدعم كفاءة الأعصاب,تعويض نقص فيتامين ب1 و ب6 وب 12,الفرق بين ميلجا العادي وميلجا أدڨانس,ميلجا أقراص العادية موجود في السوق المصري منذ فترة طويلة ويتميز باحتوائه على مادة بنفوتيامين وهو فيتامين ب 1 جيد الامتصاص، وهو ما يميز ميلجا عن باقي البدائل المتوفرة بالسوق، وتم رفع تركيز هذه المادة من 40 مجم في ميلجا العادي إلى 300 مجم في ميلجا أدڨانس ، كما تم رفع تركيز فيتامين ب 6 من 60 مجم إلى 100 مجم، والغرض من رفع التركيزات هو الوصول للاحتياج اليومي المطلوب من هذه المواد وجعلها بديل مناسب للأمبولات التي تعطى عن طريق الحقن.",1ميلجا 40 قرص 40 
Devit-3 300.000 iu/ml 1 amp i.m. oral (illegal import),https://dwaprices.com/upload/1674904611.jpg,فيتامينات,Deva,cholecalciferol,80,"
حقن فيتامين د , علاج نقص فيتامين د , سهولة امتصاص  الكالسيوم , تقوية العظام والاسنان",2ديفيت-3 300000 وحدة دولية / مل 1 امبول حقن عضلي -3 300000 / 1    ( )
Ginso max 30 cap,https://dwaprices.com/upload/1674907476.jpg,فيتامينات,China,ginseng,84,"
لزيادة الوزن , علاج النحافة الشديدة , فيتامينات متعددة",2جنسو ماكس 30 كبسولة  30 
Power b complex i.m./i.v. 6 amp,https://dwaprices.com/upload/1634417044.jpg,فيتامينات,Chemipharm,vitamin b complex,15,"
حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.",2باور بي كومبلكس 6 امبولات عضل وريد حقن   / 6 
Olisup 30 pieces,https://dwaprices.com/upload/2003827252.jpg,فيتامينات,Medcare > ibm,"folic acid,vitamin b1,vitamin b6,vitamin b12",40,"
فيتامينات",2اوليسب اقراص 30 قطعة 30 
Neurovit 6 i.m. amps,https://dwaprices.com/upload/1634417105.jpg,فيتامينات,Amriya,"vitamin b1,vitamin b6,vitamin b12",27,"
حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.",30 - نيوروفيت حقن 6 امبولات 6  
Sansovit with iron syrup 200 gm,https://dwaprices.com/upload/1666348857.jpg,فيتامينات,Marcyrl co. > aug pharma,vitamins,26.25,"
 مكمل غذائي لعلاج نقص الفيتامينات.
, حالات نقص الوزن وفقدان الشهية.
, علاج الأنيميا والضعف العام.
, لزيادة التركيز والانتباه عند الأطفال.
, تقوية المناعة لمواجهة الأمراض.
, هام للأطفال في مرحلة النمو.",3سانسوفيت حديد شراب 200 جرام    200 
Davalindi 5000 i.u. 30 tabs.,https://dwaprices.com/upload/1681993786.jpg,فيتامين D,Mup,cholecalciferol(vitamin d3),22.5,"
فيتامين دال , لعلاج مشاكل العظام ونقص فيتامين دال",5دافاليندي 5000وحدة دولية 30 قرص 5000  30 
Vitamax plus 20 caps,https://dwaprices.com/upload/1634163524.jpg,فيتامينات,Glaxo smithkline,"minerals,vitamins",45,"
فيتامينات لصحة ونشاط وحيوية الجسم",2فيتاماكس بلاس 20 كبسولة  20 
Limitless man max 30 tabs,https://www.dwaprices.com/upload/1675063258.jpg,فيتامينات,Eva pharma,,139,"
تجديد النشاط والحيوية , الارهاق والضعف العام , التعب و المجهود
يحتوي علي ٢٧ عنصر من
 اهم الڤيتامينات و المعادن التي يحتاجها الجسم بشكل يومي,
ڤيتامينات أ، ب، ج، د، ه، ك و معادن مثل الكالسيوم و الحديد و الزنك و الكروميوم",3ليميتلس مان ماكس 30 قرص   30 
Cobalamin depot 1000mcg/ml 2 amp. i.m.,https://dwaprices.com/upload/1675336824.jpg,فيتامينات,Pharopharma,hydroxocobalamin,6,"
فيتامين ب12",3كوبالامين ديبو 1000مكجم/2مل امبولات عضل  1000/ 2  
Ossofortin original d2 (10.000 i.u.) 30 tabs,https://dwaprices.com/upload/1682114143.jpg,فيتامينات,Eva pharma,ergocalciferol,78,"
 تعويض نقص فيتامين دال
, حالات الام العظام وآلام الظهر وآلام الاسنان بسبب نقص فيتامين دال
, حالات ضعف المناعة وبطء التئام الجروح
, حالات تساقط الشعر وجفاف الجلد بسبب نقص فيتامين دال
, التعب والارهاق المستمر والاكتئاب بسبب نقص فيتامين دال",1اوسوفورتين اوريجينال دي2 10000 وحدة دولية 30 قرص  2 (10000 ) 30 
Carnivita advance for men 30 sachets,https://www.dwaprices.com/upload/1675502267.jpg,فيتامينات,Eva pharma,l-carnitine-vitamin c-vitamin b,245,"
مصدر متعدد للفيتامينات , مقوي لللمناعة , مصدر للطاقة",5كارنيفيتا ادفانس للرجال 30 كيس    30 
Marvit 14 capsules with antioxidants,https://dwaprices.com/upload/993006946.jpg,فيتامينات,Marcyrl,multivitamins,19,"
- يمد الجسم بالمعادن والفيتامينات الهامة لبنائه.
يعالج حالت الإجهاد والإرهاق البدني والذهني.
منشط للذاكرة. 
يحسن من الأداء البدني والعضلي خاصة لممارسي الرياضة. 
يمد الجسم ما يحتاجه من معادن لعملية البلوغ.
يحسن من وظائف الكبد",40 - مارفيت 14 كبسولة 14   
Ecoto 20 pieces,https://dwaprices.com/upload/1675337926.jpg,فيتامينات,Pharmazad > safe life,"calcium,magnesium,vitamins(b6,b12,c,d3,k),omega 3,zinc",45,"
فيتامينات متعددة وكالسيوم",3ايكوتو 20 قطعة 20 
Vitamount for women 15 s.g. caps,https://dwaprices.com/upload/1675342334.jpg,فيتامينات,Amoun,"minerals,vitamins",40.5,"
فيتامينات للسيدات",3فيتاماونت للسيدات 15 كبسولة   15  
Neuroton 6 amp,https://dwaprices.com/upload/579099460.png,فيتامينات,Amoun,"vitamin b1,vitamin b2,vitamin b6,vitamin b12",34,"
 آلام العمود الفقري.
, حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.
, مهم لأصحاب الأمراض المزمنة كالسكري.",2نيوروتون 6 امبولات 6 
New ecavit b12 1mg/2ml 6 amp. i.m,https://dwaprices.com/upload/579099460.png,فيتامينات,El nile.,hydroxocobalamin,19.5,"
حالات نقص فيتامين ب , مصدر للطاقة , مقوي للاعصاب ,  آلام العمود الفقري.
, حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.
, مهم لأصحاب الأمراض المزمنة كالسكري.",3نيو ايكافيت ب16 امبولات عضل  12 1/2 6  
Sanso d3 10.000 i.u. 60 tabs.,https://www.dwaprices.com/upload/1675425900.jpg,فيتامينات,Aug pharma,cholecalciferol(vitamin d3),120,"
فيتامين دال",4سانسو دي3 10000 وحدة دولية 60 قرص 3 10000  60 
Bone care 0.5mcg 30 cap.,https://dwaprices.com/upload/1675338881.jpg,فيتامينات,Arab caps > multicare,alfacalcidol,57.5,"
مصدر هام من مصادر فيتامين د __ يساعد علي امتصاص الكالسيوم  بالجسم __ مقوي للعظام",3بون كير 05مكجم 30 كبسولة  05 30 
Depovit b12-1000mcg/ml 5 i.m. amp,https://dwaprices.com/upload/1634417386.jpg,فيتامينات,Amriya,hydroxocobalamin,45,"
 آلام العمود الفقري.
, حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.
, مهم لأصحاب الأمراض المزمنة كالسكري.",3ديبوفيت ب11000مكجم/مل 5 امبولات 12-1000/ 5  
Sideral active 15 orodispersible sticks,https://www.dwaprices.com/upload/1675242480.jpg,فيتامينات,> al esraa pharmaceutical optima,"iron,vitamin c,vitamin b6,folic acid,vitamin b12",75,"
فيتامينات متعددة+حديد",3سيدرال اكتيف 15  ستيكس  15  
Rosha 30 chewable tabs,https://www.dwaprices.com/upload/1675423963.jpg,فيتامينات,Pharmazad > npmt,fortified with vitamin d3 400 iu calcium and magnesium,55,"
فيتامين دال وكالسيوم وماغنسيوم لصحة العظام",4روشا 30 قرص مضغ 30  
Becozym forte 20 dragees,https://www.dwaprices.com/upload/1675412466.jpg,فيتامينات,Bayer consumer care seitzerland > bayer healthcare,vitamin b complex,30,"
حالات نقص فيتامين ب , مقوي للاعصاب , مصدر للطاقة",4بيكوزيم فورت 20 قرص  20 
Estoza (chocolate) 24 pieces,https://dwaprices.com/upload/1437034375.jpg,فيتامينات,Pharma zad > medinza pharm,"iron,zinc,folic acid,selenium,biotin,vitamin (c,e,d3, b complex),iodine,copper",70,"
اقراص مدعمة بالحديد و الفيتامينات و المعادن لعلاج نقص الحديد و الانيميا و للعناية بصحة البشرة و الشعر.",4استوزا 24 قطعة بالشوكولاتة () 24 
Taminorig 2mcg/ml oral drops. 10 ml,https://dwaprices.com/upload/1437034375.jpg,فيتامينات,Marcyrl co.,alfacalcidol,91,"
فيتامين دال",4تامينوريج 2مكجم/مل نقط فم زجاجة 10 مل 2/   10 
Depofort b12 1mg/ml 5 amp,https://dwaprices.com/upload/1635686027.jpg,فيتامينات,Pharco,hydroxycobalamin,26.25,"
 آلام العمود الفقري.
, حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.
, مهم لأصحاب الأمراض المزمنة كالسكري.",4ديبوفورت ب12 5 أمبولات حقن عضل 12 1/ 5 
Livabion 6 amp. for i.m./i.v. inj.,https://dwaprices.com/upload/1634416941.jpg,فيتامينات,Sigma tec,"folic acid,nicotinamide,orotic acid,panthenol,vitamin b1,vitamin b6,vitamin b12",42.75,"
حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.",4ليفابيون 6 امبولات عضل/وريد حقن 6   / 
Calcima 30 soft chews pieces,https://www.dwaprices.com/upload/1675415984.jpg,فيتامينات,Medcare > infinity pharm,"calcium,vitamin d3",75,"
مكمل غذائي كالسيوم وفيتامين دال",4كالسيما 30 قطعة للمضغ 30   
Hivit 21 - 20 caps.,https://www.dwaprices.com/upload/1675509208.jpg,فيتامينات,Mup,multivitamins,10,"
متعدد الفيتامينات , مصدر للطاقة , مقوي للمناعة",7هاي فيت 21  20 كبسولة 220 
Univit for men 14 cap,https://www.dwaprices.com/upload/1675427298.jpg,فيتامينات,Unipharma co.,vitamins,14.4,"
فيتامينات للرجال , مصدر للطاقة , مقوي للاعصاب , مقوي للمناعة , مضاد للاكسدة",5يونيفيت للرجال 14 كبسولة   14 
Incan-b comb 30 tablets,https://www.dwaprices.com/upload/1675427398.jpg,فيتامينات,Incandesce pharmaceuticals,"methylcobalamin,benfotiamine,vitamin b6",60,"
فيتامينات متعددة , فيتامين ب المركب , فيتامينات للطاقة والحيوية والنشاط للجسم",4انكان-بي كومب 30 قرص-  30 
Gentaplex 20 tab,https://www.dwaprices.com/upload/1675588622.jpg,فيتامينات,Liptus for medicines > usa,lyophilized fish roe-ginkgo biloba,40,"
مقوي للرجال",8جنتابلكس 20 كبسول 20 
Yeast mepaco 60 tabs,https://www.dwaprices.com/upload/1675510117.jpg,فيتامينات,Mepaco,yeast,30,"
multivitamins",7خميرة ميباكو 60 قرص  60 
Elevit pronatal 30 f.c. tabs.,https://www.dwaprices.com/upload/1675427806.jpg,فيتامينات,Bayer consumer care-switzerland > ramco,"multivitamins,minerals",114,"
فيتامينات للحوامل",6ايليفيت اقراص 30قرص للحوامل  30  
Selenium-ace 30 tabs,https://www.dwaprices.com/upload/1675509646.jpg,فيتامينات,Sigma > wassen international england,"vitamin a,vitamin e,vitamin c,selenium",75,"
multivitamins",70 - سيلينيوم -ايه سي اي 30 قرص- 30 
Bon-one 0.5mcg 30 tab.,https://www.dwaprices.com/upload/1675503533.jpg,فيتامينات,Mina pharm > teijin limited-japan,alfacalcidol,63,"
علاج نقص فيتامين دال , التعب و الارهاق , تحسين امتصاص الكالسيوم",5بون-وان 05مكجم 30 قرص - 05 30 
