,category_name,company,effective_material,en_name,price,usage,ar_name
10,فيتامينات,Eva pharma,"benfotiamine,cyanocobalamine,pyridoxine",Milga advance 30 f.c. tabs,78.0,"
منشط عام للجسم خاصة الذاكرة والتركيز.
, حالات الإرهاق العصبي المزمن.
, مسكن لآلام الأعصاب ومقوي للجهاز العصبي.
, بديل لحقن الأعصاب بنفس الفعالية.
, تكوين وتقوية كرات الدم الحمراء.
, حالات الأنيميا و الضعف العام وفقدان الطاقة.
, علاج التهاب الأعصاب خصوصا لمرضى السكر.
, دعم كفاءة وظائف الأعصاب.
, تعويض نقص فيتامين ب.
, حالات رعشة واهتزاز اليدين  ورفة العين.

فيتامين ب مركب - مقوي للأعصاب
, أهمية فيتامين ب المركب للجسم
, بنفوتيامين
هو أحد مشتقات الثيامين “فيتامين ب1” – “Thiamine” والذي يتميز بسرعة امتصاصه، وقدرته على تخفيف آلام الأعصاب الطرفية وتقويتها خاصة في مرضى السكري. كما أنه يلعب دوراً هاماً في تنظيم عمليات التمثيل الغذائي في الجسم.

, فيتامين ب6 “بيريدوكسين”
, ينشط تكوين كريات الدم الحمراء. 
, يساعد في تمثيل المواد الغذائية المختلفة مثل الأحماض الأمينية والكربوهيدرات والدهون. 
, يساعد المخ والجهاز العصبي على القيام بوظيفتهما الطبيعية.
, يدخل في العديد من الوظائف الحيوية بالجسم. 
, فيتامين ب12 “سيانوكوبالامين”
,فيتامين ب 12 من أهم الفيتامينات التي يحتاجها الجسم، وعندما يقل تركيزه في الدم يسبب حالة مرضية تسمى “الأنيميا الخبيثة”. ويتواجد فيتامين ب12 في الصيدلية كمادة مستقلة على هيئة حقن ممتدة المفعول مثل ديبوفيت وبيوفيت، وأقراص تحت اللسان مثل دلتافيت أقراص، وكبسولات مثل أورافيت كبسول، وحديثا تم إنتاجه على هيئة فيلم يوضع على اللسان وهو “ميثايلتكنو“.

, كما يتواجد فيتامين ب 12 في الكثير من المكملات وتركيبات الفيتامينات الخاصة بالأعصاب والمقوية بوجه عام وذلك لما له من فوائد هامة جداً للجسم حيث أنه:

, يساعد في تجديد خلايا الدم الحمراء.
,عامل أساسي لسلامة الجهاز العصبي.
,يساعد في عمليات التمثيل الغذائي.
,يساعد على تقوية جهاز المناعة.
,يزيد من قدرة الجسم على القيام بوظائفه عن طريق زيادة طاقته.

,دواعي استخدام ميلجا أدفانس

,يدعم وظيفة الجهاز العصبي
,يدعم كفاءة الأعصاب
,تعويض نقص فيتامين ب1 و ب6 وب 12

,الفرق بين ميلجا العادي وميلجا أدڨانس

,ميلجا أقراص العادية موجود في السوق المصري منذ فترة طويلة ويتميز باحتوائه على مادة بنفوتيامين وهو فيتامين ب 1 جيد الامتصاص، وهو ما يميز ميلجا عن باقي البدائل المتوفرة بالسوق، وتم رفع تركيز هذه المادة من 40 مجم في ميلجا العادي إلى 300 مجم في ميلجا أدڨانس ، كما تم رفع تركيز فيتامين ب 6 من 60 مجم إلى 100 مجم، والغرض من رفع التركيزات هو الوصول للاحتياج اليومي المطلوب من هذه المواد وجعلها بديل مناسب للأمبولات التي تعطى عن طريق الحقن.",ميلجا ادفانس 30 قرص  30  
11,فيتامينات,انتاج :,"l-carnitine,l-arginine,vitamin b6,vitamin b12,vitamin d3,vitamin e,vitamin c,selenium,zinc,folic acid,co q10 enzyme",Fertitonex cap,180.0,"
لزيادة القوة والأداء وتحسين الذكورة والخصوبة للرجال وزيادة الطاقة",فيرتيتونكس كبسول 
12,فيتامينات,Pharma zad > octabiotic pharma,"iron,zinc,vitamin c,vitamin b",Vinax 30 tab,90.0,"
حديد وفيتامينات متعددة لعلاج الأنيميا",فيناكس 30 قرص 30 
13,فيتامينات,Mup,cholecalciferol(vitamin d3),Davalindi 1000 i.u. 100 tabs.,40.0,"
فيتامين دال , لعلاج مشاكل العظام ونقص فيتامين دال",دافاليندي 1000وحدة دولية 100 قرص 1000  100 
14,فيتامينات,Delta pharma,cyanocobalamine,Deltavit b12 1mg 30 sublingual tab,31.0,"
تنميل اليدين والقدمين , التهاب الاعصاب , مصدر للطاقة , حالات نقص فيتامين ب",دلتافيت ب12 اقراص 30 قرص 1مجم تحت اللسان 12 1 30  
15,فيتامينات,Medcare > three one pharma,"selenium,zinc,biotin,folic acid,beta carotene,vitamin c,vitamin e",Carogix 30 tabs,60.0,"
فيتامينات متعددة 
, حالات تساقط الشعر
, لزيادة نضارة البشرة
, لزيادة قدرة الجهاز المناعي
, مكافحة نزلات البرد والانفلونزا
, زيادة مقاومة الفيروسات",كاروجيكس 30 قرص 30 
16,فيتامينات,Aug pharma,"vitamins(A,D,E,C,B1,B6),Niacin,Pantothenic Acid,Iron",Mr. bear plus syrup 160 ml,70.0,"
فيتامينات متعددة وحديد ,لعلاج الانيميا والضعف العام في الاطفال",مستر بير بلس شراب زجاجة 160 مل    160 
17,فيتامينات,Chemipharm > memphis,vitamin d,Devarol-s 200000 i.u ampoule,19.0,"
فيتامين دال",10 - ديفارول -اس 200000 وحدة دولية امبول- 200000  
18,فيتامينات,Aug pharma,"vitamin b12 biotin,vitamins(b1,b2,b6,b12),niacin,folic acid,biotin,pantothenic acid,choline,inositol",Sanso b complex 30 caps.,75.0,"
- فيتامينات متعددة 
فيتامين ب مركب",1سانسو بي كومبلكس 30 كبسولة   30 
19,فيتامينات,Pharmanutra spa>al esraa pharmaceutical optima,"iron,vitamin c,vitamin b6 ,folic acid,vitamin b12,vitamin d",Sideral folic 20 orodispersible sticks,120.0,"
فيتامينات متعددة , مصدر للطاقة , مصدر للحديد",1سيدرال فوليك 20 شرائح تذاب في الفم  20  
20,فيتامينات,Mup > pfizer,vitamins,Vita-stresstab with zinc 20 f.c. tabs.,30.5,"
مكمل غذائي , فيتامينات متعددة , مصدر للطاقة",1فيتا سترس تابس مع الزنك 20 قرص-   20  
21,فيتامينات,Med care > ibm pharma,"Iron chelated by amino acids,Copper,Zinc",Mextra iron chelated by amino acids copper zinc 24 pieces,40.0,"
مكمل غذائي للأنيميا وللحوامل",1ميكسترا 24 قطعة - حديد مطعم بالاحماض الامينية والنحاس والزنك        24 
22,فيتامينات,Multi-apex,"multivitamins,minerals",Vitayami 30 f.c. tabs,67.5,"
مقوي عام, علاج الأنيميا , نقص الحديد , فيتامينات 
و معادن",1فيتايامي 30 كبسولة مقوي عام فيتامينات ومعادن 30  
23,فيتامينات,Merva pharma,"zinc,selenium,vitamin C,vitamin E,lactoferrin",Selex 15 sachets,65.0,"
, مضاد للأكسدة
,فيتامينات ومعادن للوقاية من الأمراض
, لزيادة كفاءة المناعة",1سيليكس 15 كيس 15 
24,فيتامينات,Eva pharma,"benfotiamine,cyanocobalamine,pyridoxine",Milga 40 tablets,56.0,"
منشط عام للجسم خاصة الذاكرة والتركيز., حالات الإرهاق العصبي المزمن., مسكن لآلام الأعصاب ومقوي للجهاز العصبي., بديل لحقن الأعصاب بنفس الفعالية., تكوين وتقوية كرات الدم الحمراء., حالات الأنيميا و الضعف العام وفقدان الطاقة., علاج التهاب الأعصاب خصوصا لمرضى السكر., دعم كفاءة وظائف الأعصاب., تعويض نقص فيتامين ب., حالات رعشة واهتزاز اليدين  ورفة العين.فيتامين ب مركب - مقوي للأعصاب, أهمية فيتامين ب المركب للجسم, بنفوتيامينهو أحد مشتقات الثيامين “فيتامين ب1” – “Thiamine” والذي يتميز بسرعة امتصاصه، وقدرته على تخفيف آلام الأعصاب الطرفية وتقويتها خاصة في مرضى السكري. كما أنه يلعب دوراً هاماً في تنظيم عمليات التمثيل الغذائي في الجسم., فيتامين ب6 “بيريدوكسين”, ينشط تكوين كريات الدم الحمراء. , يساعد في تمثيل المواد الغذائية المختلفة مثل الأحماض الأمينية والكربوهيدرات والدهون. , يساعد المخ والجهاز العصبي على القيام بوظيفتهما الطبيعية., يدخل في العديد من الوظائف الحيوية بالجسم. , فيتامين ب12 “سيانوكوبالامين”,فيتامين ب 12 من أهم الفيتامينات التي يحتاجها الجسم، وعندما يقل تركيزه في الدم يسبب حالة مرضية تسمى “الأنيميا الخبيثة”. ويتواجد فيتامين ب12 في الصيدلية كمادة مستقلة على هيئة حقن ممتدة المفعول مثل ديبوفيت وبيوفيت، وأقراص تحت اللسان مثل دلتافيت أقراص، وكبسولات مثل أورافيت كبسول، وحديثا تم إنتاجه على هيئة فيلم يوضع على اللسان وهو “ميثايلتكنو“., كما يتواجد فيتامين ب 12 في الكثير من المكملات وتركيبات الفيتامينات الخاصة بالأعصاب والمقوية بوجه عام وذلك لما له من فوائد هامة جداً للجسم حيث أنه:, يساعد في تجديد خلايا الدم الحمراء.,عامل أساسي لسلامة الجهاز العصبي.,يساعد في عمليات التمثيل الغذائي.,يساعد على تقوية جهاز المناعة.,يزيد من قدرة الجسم على القيام بوظائفه عن طريق زيادة طاقته.,دواعي استخدام ميلجا أدفانس,يدعم وظيفة الجهاز العصبي,يدعم كفاءة الأعصاب,تعويض نقص فيتامين ب1 و ب6 وب 12,الفرق بين ميلجا العادي وميلجا أدڨانس,ميلجا أقراص العادية موجود في السوق المصري منذ فترة طويلة ويتميز باحتوائه على مادة بنفوتيامين وهو فيتامين ب 1 جيد الامتصاص، وهو ما يميز ميلجا عن باقي البدائل المتوفرة بالسوق، وتم رفع تركيز هذه المادة من 40 مجم في ميلجا العادي إلى 300 مجم في ميلجا أدڨانس ، كما تم رفع تركيز فيتامين ب 6 من 60 مجم إلى 100 مجم، والغرض من رفع التركيزات هو الوصول للاحتياج اليومي المطلوب من هذه المواد وجعلها بديل مناسب للأمبولات التي تعطى عن طريق الحقن.",1ميلجا 40 قرص 40 
25,فيتامينات,Amoun,"folic acid,vitamin b1,vitamin b2,vitamin b6,vitamin b12",Neuroton 30 tab,51.0,"
 آلام العمود الفقري.
, حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.
, مهم لأصحاب الأمراض المزمنة كالسكري.",1نيوروتون 30 قرص 30 
26,فيتامينات,Eva pharma,ergocalciferol,Ossofortin original d2 (10.000 i.u.) 30 tabs,78.0,"
 تعويض نقص فيتامين دال
, حالات الام العظام وآلام الظهر وآلام الاسنان بسبب نقص فيتامين دال
, حالات ضعف المناعة وبطء التئام الجروح
, حالات تساقط الشعر وجفاف الجلد بسبب نقص فيتامين دال
, التعب والارهاق المستمر والاكتئاب بسبب نقص فيتامين دال",1اوسوفورتين اوريجينال دي2 10000 وحدة دولية 30 قرص  2 (10000 ) 30 
27,فيتامينات,Amoun,vitamins,Kerovit 15 soft gelatin caps.,54.0,"
فيتامينات متعددة",20 - كيروفيت 15 كبسولة 15   
28,فيتامينات,Copad > copad egypt,"collagen hydrolysate,boswellia serrata",Cushion 10 sachets,130.0,"
فيتامينات",2كاشون 10 اكياس 10 
29,فيتامينات,Medcare > ibm,"folic acid,vitamin b1,vitamin b6,vitamin b12",Olisup 30 pieces,40.0,"
فيتامينات",2اوليسب اقراص 30 قطعة 30 
30,فيتامينات,Chemipharm,vitamin b complex,Power b complex i.m./i.v. 6 amp,15.0,"
حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.",2باور بي كومبلكس 6 امبولات عضل وريد حقن   / 6 
31,فيتامينات,Al esraa pharmaceutical optima,cholecalciferol(vitamin d3),Diviton-d forte 10.000 i.u./ml oral drops 20 ml,73.0,"
فيتامين دال",2ديفيتون-دي فورت 10000 وحدة دولية/مل نقط بالفم 20 مل-  10000 /   20 
32,فيتامينات,Glaxo smithkline,"minerals,vitamins",Vitamax plus 20 caps,45.0,"
فيتامينات لصحة ونشاط وحيوية الجسم",2فيتاماكس بلاس 20 كبسولة  20 
33,فيتامينات,Eipico,"minerals,vitamins",Mineravit 20 soft gelatin caps.,4.95,"
فيتامينات متعددة , مقوي للمناعة , مقوي للاعصاب",2مينرافيت 20 كبسولة 20   
34,فيتامينات,Amoun,"vitamin b1,vitamin b2,vitamin b6,vitamin b12",Neuroton 6 amp,34.0,"
 آلام العمود الفقري.
, حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.
, مهم لأصحاب الأمراض المزمنة كالسكري.",2نيوروتون 6 امبولات 6 
35,فيتامينات,Deva,cholecalciferol,Devit-3 300.000 iu/ml 1 amp i.m. oral (illegal import),80.0,"
حقن فيتامين د , علاج نقص فيتامين د , سهولة امتصاص  الكالسيوم , تقوية العظام والاسنان",2ديفيت-3 300000 وحدة دولية / مل 1 امبول حقن عضلي -3 300000 / 1    ( )
36,فيتامينات,China,ginseng,Ginso max 30 cap,84.0,"
لزيادة الوزن , علاج النحافة الشديدة , فيتامينات متعددة",2جنسو ماكس 30 كبسولة  30 
37,فيتامينات,Amriya,"vitamin b1,vitamin b6,vitamin b12",Neurovit 6 i.m. amps,27.0,"
حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.",30 - نيوروفيت حقن 6 امبولات 6  
38,فيتامينات,Amriya,hydroxocobalamin,Depovit b12-1000mcg/ml 5 i.m. amp,45.0,"
 آلام العمود الفقري.
, حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.
, مهم لأصحاب الأمراض المزمنة كالسكري.",3ديبوفيت ب11000مكجم/مل 5 امبولات 12-1000/ 5  
39,فيتامينات,> al esraa pharmaceutical optima,"iron,vitamin c,vitamin b6,folic acid,vitamin b12",Sideral active 15 orodispersible sticks,75.0,"
فيتامينات متعددة+حديد",3سيدرال اكتيف 15  ستيكس  15  
40,فيتامينات,Eva pharma,,Limitless man max 30 tabs,139.0,"
تجديد النشاط والحيوية , الارهاق والضعف العام , التعب و المجهود
يحتوي علي ٢٧ عنصر من
 اهم الڤيتامينات و المعادن التي يحتاجها الجسم بشكل يومي,
ڤيتامينات أ، ب، ج، د، ه، ك و معادن مثل الكالسيوم و الحديد و الزنك و الكروميوم",3ليميتلس مان ماكس 30 قرص   30 
41,فيتامينات,Marcyrl co. > aug pharma,vitamins,Sansovit with iron syrup 200 gm,26.25,"
 مكمل غذائي لعلاج نقص الفيتامينات.
, حالات نقص الوزن وفقدان الشهية.
, علاج الأنيميا والضعف العام.
, لزيادة التركيز والانتباه عند الأطفال.
, تقوية المناعة لمواجهة الأمراض.
, هام للأطفال في مرحلة النمو.",3سانسوفيت حديد شراب 200 جرام    200 
42,فيتامينات,Pharmazad > safe life,"calcium,magnesium,vitamins(b6,b12,c,d3,k),omega 3,zinc",Ecoto 20 pieces,45.0,"
فيتامينات متعددة وكالسيوم",3ايكوتو 20 قطعة 20 
43,فيتامينات,Pharopharma,hydroxocobalamin,Cobalamin depot 1000mcg/ml 2 amp. i.m.,6.0,"
فيتامين ب12",3كوبالامين ديبو 1000مكجم/2مل امبولات عضل  1000/ 2  
44,فيتامينات,Amoun,"minerals,vitamins",Vitamount for women 15 s.g. caps,40.5,"
فيتامينات للسيدات",3فيتاماونت للسيدات 15 كبسولة   15  
45,فيتامينات,El nile.,hydroxocobalamin,New ecavit b12 1mg/2ml 6 amp. i.m,19.5,"
حالات نقص فيتامين ب , مصدر للطاقة , مقوي للاعصاب ,  آلام العمود الفقري.
, حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.
, مهم لأصحاب الأمراض المزمنة كالسكري.",3نيو ايكافيت ب16 امبولات عضل  12 1/2 6  
46,فيتامينات,Arab caps > multicare,alfacalcidol,Bone care 0.5mcg 30 cap.,57.5,"
مصدر هام من مصادر فيتامين د __ يساعد علي امتصاص الكالسيوم  بالجسم __ مقوي للعظام",3بون كير 05مكجم 30 كبسولة  05 30 
47,فيتامينات,Marcyrl,multivitamins,Marvit 14 capsules with antioxidants,19.0,"
- يمد الجسم بالمعادن والفيتامينات الهامة لبنائه.
يعالج حالت الإجهاد والإرهاق البدني والذهني.
منشط للذاكرة. 
يحسن من الأداء البدني والعضلي خاصة لممارسي الرياضة. 
يمد الجسم ما يحتاجه من معادن لعملية البلوغ.
يحسن من وظائف الكبد",40 - مارفيت 14 كبسولة 14   
48,فيتامينات,Medcare > infinity pharm,"calcium,vitamin d3",Calcima 30 soft chews pieces,75.0,"
مكمل غذائي كالسيوم وفيتامين دال",4كالسيما 30 قطعة للمضغ 30   
49,فيتامينات,Pharma zad > medinza pharm,"iron,zinc,folic acid,selenium,biotin,vitamin (c,e,d3, b complex),iodine,copper",Estoza (chocolate) 24 pieces,70.0,"
اقراص مدعمة بالحديد و الفيتامينات و المعادن لعلاج نقص الحديد و الانيميا و للعناية بصحة البشرة و الشعر.",4استوزا 24 قطعة بالشوكولاتة () 24 
50,فيتامينات,Pharco,hydroxycobalamin,Depofort b12 1mg/ml 5 amp,26.25,"
 آلام العمود الفقري.
, حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.
, مهم لأصحاب الأمراض المزمنة كالسكري.",4ديبوفورت ب12 5 أمبولات حقن عضل 12 1/ 5 
51,فيتامينات,Pharmazad > npmt,fortified with vitamin d3 400 iu calcium and magnesium,Rosha 30 chewable tabs,55.0,"
فيتامين دال وكالسيوم وماغنسيوم لصحة العظام",4روشا 30 قرص مضغ 30  
52,فيتامينات,Bayer consumer care seitzerland > bayer healthcare,vitamin b complex,Becozym forte 20 dragees,30.0,"
حالات نقص فيتامين ب , مقوي للاعصاب , مصدر للطاقة",4بيكوزيم فورت 20 قرص  20 
53,فيتامينات,Marcyrl co.,alfacalcidol,Taminorig 2mcg/ml oral drops. 10 ml,91.0,"
فيتامين دال",4تامينوريج 2مكجم/مل نقط فم زجاجة 10 مل 2/   10 
54,فيتامينات,Aug pharma,cholecalciferol(vitamin d3),Sanso d3 10.000 i.u. 60 tabs.,120.0,"
فيتامين دال",4سانسو دي3 10000 وحدة دولية 60 قرص 3 10000  60 
55,فيتامينات,Sigma tec,"folic acid,nicotinamide,orotic acid,panthenol,vitamin b1,vitamin b6,vitamin b12",Livabion 6 amp. for i.m./i.v. inj.,42.75,"
حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.",4ليفابيون 6 امبولات عضل/وريد حقن 6   / 
56,فيتامينات,Incandesce pharmaceuticals,"methylcobalamin,benfotiamine,vitamin b6",Incan-b comb 30 tablets,60.0,"
فيتامينات متعددة , فيتامين ب المركب , فيتامينات للطاقة والحيوية والنشاط للجسم",4انكان-بي كومب 30 قرص-  30 
57,فيتامينات,Medcare > ibm pharma,"iron ,lactoferrin,vit b complex",Vitalochoc plus 10 sachet,50.0,"
فيتامينات متعددة لعلاج الانيميا و لزيادة المناعة",50 - فيتالوشوك بلس 10 اكياس  10 
58,فيتامينات,Pharmazad > essence pharma,"multivitamins,minerals",Mrocan 10 sachets 20 gm,250.0,"
مصدر للفيتامينات والاملاح والمعادن التي يحتاجها الجسم , مقوي للمناعة , مصدر للطاقة",5مروكان 10 اكياس 20 جم 10  20 
59,فيتامينات,Unipharma co.,vitamins,Univit for men 14 cap,14.4,"
فيتامينات للرجال , مصدر للطاقة , مقوي للاعصاب , مقوي للمناعة , مضاد للاكسدة",5يونيفيت للرجال 14 كبسولة   14 
60,فيتامينات,Aug pharma,"zinc,vitamin c,vitamin d3,vitamin e,vitamin a",Sanso c plus 28 tabs,130.0,"
فيتامينات و املاح ومعادن , لتقوية الجهاز المناعي , زيادة قدرة الجسم على مقاومة الامراض",5سانسو سي بلس 28 قرص   28 
61,فيتامينات,Eva pharma,l-carnitine-vitamin c-vitamin b,Carnivita advance for men 30 sachets,245.0,"
مصدر متعدد للفيتامينات , مقوي لللمناعة , مصدر للطاقة",5كارنيفيتا ادفانس للرجال 30 كيس    30 
62,فيتامينات,Marnys > walfarm pharmaceuticals,"royal jelly,nobiletin,pantothenic acid,folic acid",Marnys nobiletil 10 oral bottles 11 ml,300.0,"
فيتامينات",5مارنيز نوبيليتيل 10 زجاجات 11 مل  10   11 
63,فيتامينات,Averroes pharma-egypt,calcitriol,Calcidoveros 1 mcg/ml oral drops 30 ml,23.4,"
حالات نقص فيتامين د , حالات نقص الكالسيوم , حالات الكساح ,حالات هشاشة العظام",5كالسيدوفيروز 1مكجم/مل نقط بالفم 30 مل 1 /   30 
64,فيتامينات,Global napi pharmaceuticals,"folic acid,mecobalamin",Cobal f 500/200 mcg 30 f.c. tab,54.0,"
vitamins",5كوبال ف 500/200مكجم 30 قرص  500/200  30  
65,فيتامينات,Mina pharm > teijin limited-japan,alfacalcidol,Bon-one 0.5mcg 30 tab.,63.0,"
علاج نقص فيتامين دال , التعب و الارهاق , تحسين امتصاص الكالسيوم",5بون-وان 05مكجم 30 قرص - 05 30 
66,فيتامينات,Marcyrl co.,vitamins,Marvit syrup 100 ml,9.0,"
vitamins",5مارفيت شراب 100 مل  100 
67,فيتامينات,Hikma pharma,vitamin c,C-retard 500mg 10 caps,16.0,"
فيتامين سي , لتقوية المناعة , في علاج نزلات البرد",60 - سي-ريتارد 500مجم 10 كبسولات- 500 10 
68,فيتامينات,Bayer consumer care-switzerland > ramco,"multivitamins,minerals",Elevit pronatal 30 f.c. tabs.,114.0,"
فيتامينات للحوامل",6ايليفيت اقراص 30قرص للحوامل  30  
69,فيتامينات,Al esraa pharmaceutical optima,"vitamin c,vitamin d,zinc",Triguard 30 capsules,60.0,"
فيتامينات لزيادة وتقوية المناعة",6ترايجارد 30 كبسولة 30 
70,فيتامينات,Pharma zad > octabiotic pharma,"calcium,magnesium,zinc,vitamin b,vitamin d",Totta 24 tablets,49.0,"
كالسيوم وفيتامينات متعددة",6توتا 24 اقراص 24 
